term_id,student_id,enrollment_id,course_title,class_id,grade,first_name,last_name,credits_earned,date_of_birth,student_employee,gpa,major,age,course_subject,course_number,course_section
2221,100924,33580145,General Biology 1,EBIO-1-1210-11,75.88,Munmro,Shuxsmith,109,2002-08-04,0,2.63,Classical Antiquity,20,EBIO,1210,11
2221,100924,88796458,General Chemistry 1,CHEM-1-1113-22,78.97,Munmro,Shuxsmith,109,2002-08-04,0,2.63,Classical Antiquity,20,CHEM,1113,22
2221,111967,86175930,General Physics 1,PHYS-1-1110-16,87.45,Whitby,Cattlow,142,2003-12-24,1,2.88,Engineering - Undetermined,18,PHYS,1110,16
2221,114604,62616427,General Biology 1,EBIO-1-1210-10,92.78,Tabor,Pfleger,134,1999-01-24,1,4.0,Composition,23,EBIO,1210,10
2221,131285,23819971,General Physics 1,PHYS-1-1110-15,52.25,Carleton,Abendroth,140,2002-04-28,1,4.0,Broadcast Production,20,PHYS,1110,15
2221,150535,94937972,General Physics 1,PHYS-1-1110-15,85.22,Lilias,Bullas,131,2001-12-19,0,4.0,Latin American Studies,20,PHYS,1110,15
2221,155867,50094255,General Biology 1,EBIO-1-1210-10,89.23,Germain,Southers,124,1999-10-27,0,4.0,Computer Science,23,EBIO,1210,10
2221,195880,64402218,General Biology 1,EBIO-1-1210-10,79.43,Kavi,Choudhary,135,2004-03-26,0,3.37,Journalism - Open Option,18,EBIO,1210,10
2221,195880,76295640,General Chemistry 1,CHEM-1-1113-21,84.99,Kavi,Choudhary,135,2004-03-26,0,3.37,Journalism - Open Option,18,CHEM,1113,21
2221,197853,52405021,General Biology 1,EBIO-1-1210-10,82.09,Odelle,Meni,136,1999-06-14,0,4.0,English,23,EBIO,1210,10
2221,224980,49590198,General Biology 1,EBIO-1-1210-10,81.44,Averil,Stapleton,119,2001-06-02,1,3.47,Environmental Prod of Design,21,EBIO,1210,10
2221,224980,45056488,General Chemistry 1,CHEM-1-1113-21,87.24,Averil,Stapleton,119,2001-06-02,1,3.47,Environmental Prod of Design,21,CHEM,1113,21
